words,encoded
%,0
&,1
',2
'',3
'appréci,4
'oblig,5
(,6
),7
*,8
+,9
",",10
",19",11
",54",12
-,13
-décis,14
-ehpad-,15
-et,16
-loch,17
-m.,18
-mauric,19
-mme,20
-réviseur,21
-titr,22
-tousch,23
-unkelbach,24
.,25
.qu'un,26
/,27
//,28
/…/,29
0,30
"0,06",31
"0,125",32
"0,5",33
"0,50*bt02",34
"0,50*bt47",35
"0,6413",36
"0,875*",37
000,38
000€,39
0010/2015,40
0012,41
0015/2015,42
0016/2015,43
0017/2015,44
003,45
004,46
"004,63",47
006,48
007,49
0075-01/2014,50
0075/2014,51
009,52
0094/2014,53
01,54
012,55
"012,18",56
012135,57
013,58
"013,38",59
014,60
016,61
017,62
"017,07",63
"017,48",64
018,65
"018,07",66
02,67
02-005-a3-m,68
02-005-a3-m0,69
02-005-a3-mo,70
02-05,71
02/03/12,72
020,73
"020,41",74
0206/2014,75
"021,77",76
0218/2014,77
021840,78
022,79
0220/2014,80
"023,18",81
"023,43",82
024,83
024351,84
"025,86",85
"026,64",86
"026,90",87
027,88
027020,89
028,90
"028,33",91
029,92
03,93
03-0232,94
03/03/2005,95
03/04/05,96
030,97
030360,98
033,99
034,100
034013,101
034016,102
035,103
036,104
"037,11",105
"037,22",106
"039,52",107
04,108
04-043-m0,109
040,110
04125,111
04125/10,112
042,113
"042,61",114
04439/10,115
04445/10,116
045,117
"048,06",118
05-050-m0,119
05-050-mo,120
05-50-m0,121
05-50-mo,122
05/cantine/hôpital,123
050,124
051,125
"051,41",126
051039999,127
"053,18",128
054,129
"055,59",130
"059,89",131
06/05/2008,132
060,133
061,134
"063,20",135
"064,25",136
"064,79",137
"065,17",138
"065,69",139
"065,72",140
"068,98",141
07,142
07/04/12,143
"071,16",144
072,145
"075,52",146
076,147
"076,64",148
077,149
"077,31",150
"077,36",151
"078,72",152
08,153
08/02/09,154
08/10/2010,155
080,156
081,157
082,158
083,159
"084,78",160
"084,80",161
088,162
"088,23",163
09,164
09/3307,165
091,166
"094,63",167
09pa008,168
0par,169
1,170
1'articl,171
"1,15",172
"1,20",173
"1,5",174
"1,5/1000",175
"1,5‰",176
1-,177
1.,178
1.7,179
1/1000em,180
1/3000em,181
1/300em,182
10,183
10.4.3,184
10/10,185
10/3460,186
10/3477,187
10/3984,188
10/iii/2012,189
100,190
1000,191
1009,192
100…,193
101,194
"101,85",195
"101,87",196
10113,197
1019,198
101…,199
102,200
"102,70",201
"1025,86",202
1026,203
102…,204
103,205
"103,38",206
10349,207
1038,208
10387,209
103…,210
104,211
104…,212
105,213
"105,41",214
"105,86",215
105…,216
1063,217
106…,218
"107,48",219
1072,220
10754,221
10796,222
107…,223
1085,224
10853,225
10854,226
108…,227
109,228
10960,229
109…,230
10em,231
11,232
11-022-m0,233
11-022-mo,234
110,235
1108,236
110…,237
111,238
